OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327161"",""20-578"")",NSF-DFG Lead Agency Activity in Electrosynthesis and Electrocatalysis,NSF,National Science Foundation,5000000,10,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/17/2020,09/30/2020,05/17/2020 01:00:17,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327106"",""20CS12"")",VICTOR Curriculum Revision and E-Course Development,USDOJ-BOP-NIC,National Institute of Corrections,130000,1,"Cameron D Coblentz
Grantor
Phone 202-514-0053",,ccoblentz@bop.gov,,,05/15/2020,07/14/2020,05/15/2020 09:41:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327084"",""DOS-KAZ-ALM-PAS-20-004"")",EducationUSA Student Advising – Shymkent,DOS-KAZ,U.S. Mission to Kazakhstan,,1,"Maryana Toleubekova
Grants Coordinator
Phone 7272504870",,KZ-PAS-Proposals@state.gov,,,05/15/2020,06/30/2020,05/15/2020 06:32:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327109"",""POA-CESU-20-05"")",JBLM NR TE,DOD-COE-AK,Alaska District,380559,1,"Olen R Northern
Contract and Grants Officer
Phone 9077532525",,olen.r.northern@usace.army.mil,,,05/15/2020,06/30/2020,05/15/2020 10:49:15,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327107"",""FR-6400-N-56"")",Cooperative Research in Housing Technologies,HUD,Department of Housing and Urban Development,2000000,4,"Mike Blanford
Madlyn.WohlmanRodriguez@hud.gov",,Madlyn.WohlmanRodriguez@hud.gov,,,05/15/2020,06/18/2020,05/15/2020 10:11:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327108"",""BOR-LC-20-N008"")",Notice of Intent to Award to AZ Game and Fish Dept.,DOI-BOR,Bureau of Reclamation,,1,"Sharon Opfermann
Grantor
Phone 702-293-8449",,sopfermann@usbr.gov,,,05/15/2020,05/29/2020,05/15/2020 10:47:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327087"",""20200818-HC"")",NEH/AHRC New Directions for Digital Scholarship in Cultural Institutions,NEH,National Endowment for the Humanities,1200000,15,"Office of Digital Humanities
National Endowment for the Humanities
400 Seventh Street, SW
Washington, DC 20506
odh@neh.gov",,odh@neh.gov,,,05/15/2020,08/18/2020,05/15/2020 10:15:15,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327082"",""EAPBJ-20-GR-002-EAP-05152020"")",Public Diplomacy Programming in the People's Republic of China,DOS-CHN,U.S. Mission to China,,,BeijingProgramGrants@state.gov,,BeijingProgramGrants@state.gov,,,05/15/2020,06/25/2020,05/15/2020 00:08:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327104"",""EAPBJ-20-GR-001-EAP-051520"")",Public Diplomacy Programming in the People's Republic of China,DOS-CHN,U.S. Mission to China,,15,BeijingProgramGrants@state.gov,,BeijingProgramGrants@state.gov,,,05/15/2020,07/31/2020,05/15/2020 00:16:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327105"",""ARCHIVAL-202010"")",Access to Historical Records: Archival Projects,NARA,National Archives and Records Administration,1000000,10,"Jeff de la Concepcion
Jeff.delaconcepcion@nara.gov",,Jeff.delaconcepcion@nara.gov,,,05/15/2020,10/08/2020,05/15/2020 05:38:15,Synopsis 1,
